1004394,3617816,1
1004474,1397428,1
1004474,3631644,1
1004819,1716623,1
1004840,1047989,5
1004843,660348,1
1005617,3897612,1
1005641,693327,1
1005856,1049379,5
1005856,1084287,5
1006199,1534939,1
1006199,3570877,1
1007075,7081834,1
1007078,1010289,5
1007078,1096726,5
1007400,4424373,5
1007400,7094158,5
1010120,7442167,1
1010215,1010289,1
10102498,1545998,1
1010289,1007078,5
1010289,1010215,1
1010714,1054354,5
10109400,1647186,5
10109400,1849145,5
10109400,608104,5
1010981,1030570,1
1010981,7441864,1
1010981,7982635,3
1011003,2000142,1
1011003,7442135,1
1011217,1131294,3
1011217,1926459,1
1011273,7922666,1
1011273,9029012,1
1011556,4427602,1
1012341,7095047,1
1012849,1506363,1
1012849,1957112,1
1012849,338601,1
1012849,3991572,1
1012849,528710,1
1012849,750934,1
1012871,1752416,1
1012871,7092301,1
1012871,7093913,5
1013048,1080990,1
1013048,1235722,1
1013048,1322712,1
1013048,1744394,1
1013048,1779198,5
1013048,617193,1
1013048,644493,5
1013048,6874561,5
1013048,785614,1
1013442,1066023,1
1013442,1068300,5
1013442,1192858,5
1013442,1235727,1
1013442,1295962,5
1013442,1322717,1
1013442,1744450,1
1013442,1779127,1
1013442,786718,1
1013442,787379,1
1013442,897755,5
1013442,9820843,5
1013866,1086883,1
1013866,1235728,1
1013866,1322718,1
1013866,1729484,1
1013866,1746600,1
1013866,641251,1
1013866,934762,1
1013901,1512952,4
1013901,1915083,1
1013901,341306,1
1013901,887178,4
1013902,1393854,4
1013902,1836788,3
1013902,1915080,1
1013902,1915094,5
1013902,1918778,5
1013902,1957434,5
1013902,338590,3
1013902,348053,3
1013902,415984,3
1013902,503968,3
1013902,528715,3
1014047,1889680,5
1014047,1957101,1
1014047,1990752,5
1014047,3905843,5
1014049,1416144,1
1014049,1914996,1
1014049,1958967,1
1014050,1531660,4
1014050,1915084,1
1014050,338592,4
1014075,1147920,5
1014075,1932407,5
1014075,3642861,3
1014075,758882,5
1014075,811151,5
1014075,892377,5
1014220,7092928,2
1014220,7092946,1
1014220,8143836,1
1014220,9584374,1
1014220,9688980,1
1014222,1748327,1
1014222,546527,1
1014560,1388344,1
1014735,7093016,1
1014820,1393839,1
1014820,1702859,1
1014820,1958967,5
1014820,3983992,5
1014822,1915068,1
1014822,433176,2
1014822,532661,2
1015303,1469563,4
1015303,1932393,1
1015303,433173,1
1015306,1957114,1
